abadžija	âbadʒija
amebni	ǎmeːbniː
amelioracija	ameliorǎːtsija
amer	âmer
amerika	aměrika
amerikanac	amerikǎːnats
amerikanizam	amerikanǐzam
amerikanizirati	amerikanizǐːrati
amerikanka	amerǐkaːnka
američki	aměritʃki
američki	aměritʃkiː
ametice	ǎmetitse
ametist	amětist
amfibija	ǎmfiːbija
amfiteatar	amfitěaːtar
amfiteatralan	amfitěatraːlan
amfora	ǎmfora
amharski	ǎmxarskiː
amidža	ǎmidʒa
aminokiselina	aminokiselǐna
amnestirati	amnestǐːrati
amnezija	ǎmneːzija
amo	âːmo
amoder	âːmoder
amoralan	âmoraːlan
amoralnost	amorǎːlnoːst
amorfan	ǎmorfan
amorfno	ǎmorfno
amortizacija	amortizǎːtsija
amortizacijski	amortizǎːtsiːjskiː
ampak	ampak
amplifikacija	amplifikǎːtsija
amplituda	amplitǔːda
amputacija	amputǎːtsija
amputirati	amputǐːrati
amsterdam	ǎmsterdam
amsterdamski	ǎmsterdamskiː
amulet	amǔlet
ana	âna
ana	ǎːna
anabaza	anabǎːza
anabolik	anabǒlik
anabolizam	anabolǐzam
anadiploza	anadiplǒːza
anadolija	anadǒːlija
anaeroban	ǎnaeroban
anagram	anǎgram
anahronizam	anaxronǐzam
anakronističan	anakronǐstitʃan
anakronizam	anakronǐzam
anakroničan	anakrǒnitʃan
analeptik	analěptik
analfabet	analfǎbeːt
analfabetizam	analfabetǐzam
analfabetski	analfǎbetski
analfabetski	analfǎbetskiː
analgetički	analgětitʃki
analgetički	analgětitʃkiː
analgezija	anǎlgeːzija
anali	anǎːli
analitičan	analǐtitʃan
analitičar	analǐtitʃaːr
analiza	analǐːza
analizator	analǐzaːtor
analizirati	analizǐːrati
analni	ǎnaːlniː
analogan	ânalogan
analogija	analǒgija
analogijski	analǒgiːjskiː
analogno	ânalogno
analoški	anǎloʃki
analoški	anǎloʃkiː
anamneza	anamněːza
ananas	ânanas
anarhija	anǎrxija
anarhist	anǎrxist
anarhistički	anarxǐstitʃki
anarhistički	anarxǐstitʃkiː
anarhizam	anarxǐzam
anarhičan	anǎrxitʃan
anarhičnost	anǎrxitʃnoːst
anason	anǎsoːn
anastrofa	anastrǒːfa
anatemizirati	anatemizǐːrati
anatolija	anatǒːlija
anatom	anǎtoːm
anatomija	anatǒmija
anda	andaː
andaluski	andǎluskiː
andaluzija	andǎluːzija
andaluzijski	andǎluzijskiː
ande	âːnde
andora	andôːra
andorac	andǒːrats
andorski	ǎndorskiː
andrija	ǎndrija
androklo	andrǒklo
andrologija	androlǒgija
andromaha	andrǒmaxa
andromeda	andrǒmeda
anduz	ǎnduz
andžar	ǎndʒaːr
anegdota	anegdǒta
anegdotalan	anegdǒtaːlan
anegdotalnost	anegdotǎːlnoːst
anegdotičan	anegdǒtitʃan
anegdotičnost	anegdǒtitʃnoːst
anegdotski	aněgdotski
anegdotski	aněgdotskiː
aneksija	aněksija
aneksijski	aněksiːjski
aneksijski	aněksiːjskiː
aneksioni	âneksioːniː
aneksionist	aneksiǒnist
aneksionistički	aneksionǐstitʃki
aneksionistički	aneksionǐstitʃkiː
anektirati	anektǐːrati
anemičan	aněmitʃan
aneroid	anerǒiːd
anestetik	anestětik
anestezija	anestězija
angažiran	angǎʒiːran
angažirati	angaʒǐːrati
angelologija	angelolǒgija
angiologija	angiolǒgija
anglicizam	anglitsǐzam
anglikan	anglǐkaːn
anglikanac	anglikǎːnats
anglikanski	anglǐkaːnskiː
anglist	ǎnglist
anglistika	anglǐstika
anglistički	anglǐstitʃki
anglistički	anglǐstitʃkiː
anglizam	anglǐzam
angloamerika	angloaměrika
angloamerički	angloaměritʃkiː
anglofil	anglǒfiːl
anglofob	anglǒfoːb
anglosaksonac	anglosaksǒːnats
anglosaksonski	anglosǎksoːnskiː
anglosaski	anglǒsaskiː
angola	angôːla
angolac	angǒːlats
angolka	ǎngoːlka
angolski	ǎngolskiː
anihilacija	anixilǎːtsija
anilin	anǐliːn
anilinski	anǐliːnskiː
animacija	animǎːtsija
animalan	ânimaːlan
animator	anǐmaːtor
animirati	animǐːrati
animizam	animǐzam
animozitet	animozǐteːt
anis	ǎnis
anka	âːnka
ankara	ǎnkara
anketa	ankěta
anketar	ankětaːr
anketirati	anketǐːrati
anketni	ǎnketniː
anksioznost	anksiǒːznoːst
anoda	anǒːda
anodni	ǎnoːdniː
anomalija	anomǎlija
anoniman	ânoniːman
anonimno	ânoniːmno
anonimnost	anonǐːmnoːst
anorganski	ânorgaːnskiː
anotirati	anotǐːrati
antagonizam	antagonǐzam
antarktik	antǎrktik
antarktika	antǎrktika
ante	ǎːnte
antialkoholizam	antialkoxolǐzam
antibiotik	antibiǒtik
anticiklona	antitsiklǒːna
anticipacija	antitsipǎːtsija
anticipirati	antitsipǐːrati
antidržavni	antidřʒaːʋniː
antifašist	antifǎʃist
antifašistički	antifaʃǐstitʃki
antifašistički	antifaʃǐstitʃkiː
antifašistkinja	antifǎʃistkiɲa
antifašizam	antifaʃǐzam
antifeminizam	antifeminǐzam
antiheroj	antixěroːj
antiimperijalizam	antiimperijalǐzam
antik	ǎntik
antika	ǎntika
antiklinala	antiklinǎːla
antikni	ǎntikniː
antikomunist	antikomǔnist
antikomunistički	antikomunǐstitʃki
antikomunistički	antikomunǐstitʃkiː
antikomunizam	antikomunǐzam
antikvar	antǐkʋaːr
antikvaran	ântikʋaːran
antilogaritam	antilogarǐtam
antimaterija	antimǎteːrija
antimetabola	antimetǎbola
antimon	ǎntimon
antipatičan	antipǎtitʃan
antipatično	antipǎtitʃno
antipod	antǐpoːd
antireligiozan	antirěligioːzan
antisemitizam	antisemitǐzam
antisemitski	antisěmiːtski
antisemitski	antisěmiːtskiː
antiseptički	antisěptitʃki
antiseptički	antisěptitʃkiː
antisocijalan	antisǒtsijaːlan
antisocijalistički	antisotsijalǐstitʃki
antisocijalistički	antisotsijalǐstitʃkiː
antisocijalizam	antisotsijalǐzam
antitelo	ǎntiteːlo
antiteza	antǐteza
antitijelo	ǎntitjeːlo
antički	ǎntitʃkiː
antologija	antolǒgija
antonim	antǒniːm
antonimija	antonǐmija
antonomazija	antonomǎːzija
antraks	ǎntraks
antropoidan	ântropoiːdan
antropolog	antropǒlog
antropologija	antropolǒgija
antropološki	antropǒloʃki
antropološki	antropǒloʃkiː
antropomorfan	antropomǒrfan
antropomorfizam	antropomorfǐzam
antun	ǎntuːn
anulirati	anulǐːrati
anđelak	andʑěːlak
anđelić	âːndʑelitɕ
anđelski	âːndʑelskiː
anđelčić	andʑěltʃitɕ
anđeo	âːndʑeo
anđeoski	andʑeǒski
anđeoski	andʑeǒskiː
aorist	âorist
aoristni	âoristniː
aorta	ǎoːrta
apanaža	apanǎːʒa
aparatčik	aparǎttʃik
apartan	ǎpartan
aparthejd	âpartxejd
apatija	apǎtija
apatičan	apǎtitʃan
apatično	apǎtitʃno
apatrid	apǎtriːd
apel	ǎpel
apelirati	apelǐːrati
aperitiv	aperǐtiːʋ
apetit	apětiːt
aplaudirati	aplaudǐːrati
aplauz	ǎplauz
aplicirati	aplitsǐːrati
aplikacija	aplikǎːtsija
apodiktički	apodǐktitʃki
apoen	apǒeːn
apokalipsa	apokalǐpsa
apokaliptičan	apokalǐptitʃan
apokrifan	apǒkrifan
apolitičan	apolǐtitʃan
apolitički	apolǐtitʃki
apolitički	apolǐtitʃkiː
apologet	apolǒgeːt
apologetika	apologětika
apologija	apolǒgija
apolon	apǒloːn
apostol	ǎpostol
apostrof	ǎpostrof
apostrofa	apǒstrofa
apostrofirati	apostrofǐːrati
apoteoza	apoteǒːza
apozicija	apozǐːtsija
aprecijacija	apretsijǎːtsija
april	ǎpriːl
aprilski	ǎpriːlskiː
aprioran	âprioːran
aproksimacija	aproksimǎːtsija
aproksimativan	âproksimatiːʋan
aproksimativno	âproksimatiːʋno
aproksimirati	aproksimǐːrati
apscisa	apstsǐsa
apsida	ǎpsida
apsolucija	apsolǔːtsija
apsolut	âpsoluːt
apsolutan	âpsoluːtan
apsolutizam	apsolutǐzam
apsolutizirati	apsolutizǐːrati
apsolutno	âpsoluːtno
apsolvirati	apsolʋǐːrati
apsorbirati	apsorbǐːrati
apsorpcija	apsǒrptsija
apstinencija	apstiněntsija
apstinirati	apstinǐːrati
apstrahirati	apstraxǐːrati
apstrakcija	apstrǎktsija
apstrakt	ǎpstrakt
apstraktan	ǎpstraktan
apstraktno	ǎpstraktno
apsurdan	ǎpsurdan
apsurdno	ǎpsurdno
apsurdnost	ǎpsurdnoːst
arabeska	arǎbeska
arabica	arǎbitsa
arabija	ǎraːbija
arabijski	arǎːbiːjskiː
arabljanin	arǎːbʎaniːn
aramejski	aramějskiː
aranžirati	aranʒǐːrati
aranžman	arǎnʒmaːn
arapin	ǎrapin
arapski	ǎrapskiː
arbanas	arbǎnas
arbitar	ǎrbitar
arbitraran	ârbitraːran
arbitraža	arbitrǎːʒa
arbitražni	ârbitraːʒniː
arbun	ǎrbuːn
arebica	arěbitsa
arena	arěːna
ares	âːres
argat	ǎrgat
argentina	argentǐːna
argentinac	argentǐːnats
argentinski	argěntiːnskiː
argon	ǎrgoːn
argument	argǔment
argumentacija	argumentǎːtsija
argumentirano	arguměntiːrano
arhaik	arxǎik
arhaizam	arxaǐzam
arhaizirati	arxaizǐːrati
arhaičan	arxǎitʃan
arhaično	arxǎitʃno
arheolog	arxeǒlog
arheologija	arxeolǒgija
arheološki	arxeǒloʃkiː
arhiepiskop	arxiěpiskop
arhipelag	arxipělaːg
arhitekt	arxǐtekt
arhitektica	arxǐtektitsa
arhitektonski	arxitěktoːnskiː
arhitektura	arxitektǔːra
arhitekturni	arxitěktuːrniː
arhiv	ǎrxiːʋ
arhivar	arxǐʋaːr
arhivist	arxǐʋist
arhiđakon	ǎrxidʑakon
arija	âːrija
arijac	âːrijats
arijka	âːriːjka
arijski	âːriːjskiː
aristokracija	aristokrǎtsija
aristokrat	aristǒkrat
aristokratija	aristokrǎtija
aristokratkinja	aristǒkratkiɲa
aristokratski	aristǒkratski
aristokratski	aristǒkratskiː
aristotel	aristǒtel
aritmetika	aritmětika
aritmetički	aritmětitʃki
aritmetički	aritmětitʃkiː
aritmija	arǐtmija
armatura	armatǔːra
armenac	arměːnats
armenija	ǎrmeːnija
armenski	ǎrmeːnskiː
armija	ǎrmija
arogancija	arogǎntsija
arogantan	arogǎntan
arogantno	arogǎntno
aroma	arǒːma
aromatičan	aromǎtitʃan
arsen	ǎrseːn
arsenal	arsěnaːl
artefakt	ârtefakt
arterija	ǎrteːrija
arterijski	ǎrteːriːjskiː
artikulacija	artikulǎːtsija
artikulacijski	artikulǎːtsiːjskiː
artikulirati	artikulǐːrati
artiljerac	artiʎěːrats
artiljerija	artiʎěrija
artiljerijski	artiʎěriːjskiː
artiljerski	artǐʎeːrski
artiljerski	artǐʎeːrskiː
artist	ǎrtist
artistički	artǐstitʃki
artistički	artǐstitʃkiː
artičoka	artitʃǒːka
artritis	artrǐtis
arzuhal	arzǔxaːl
aršin	ǎrʃiːn
as	âs
asamski	ǎsamskiː
aseptičan	asěptitʃan
aseptički	asěptitʃkiː
asfalt	ǎsfalt
asfaltirati	asfaltǐːrati
asimetrija	asimětrija
asimetričan	asimětritʃan
asimilacija	asimilǎːtsija
asimilirati	asimilǐːrati
asirac	asǐːrats
asirija	asǐːrija
asirologija	asirolǒgija
asirski	ǎsiːrskiː
asistencija	asistěntsija
asistent	asǐstent
asistirati	asistǐːrati
asketizam	asketǐzam
asocijacionizam	asotsijatsionǐzam
asocijacizam	asotsijatsǐzam
asocijalan	âsotsijaːlan
asocirati	asotsǐːrati
asonanca	asǒnaːntsa
asortiman	asortǐmaːn
aspekt	ǎspekt
aspirin	aspǐriːn
aspra	âspra
asteroid	asterǒiːd
astma	ǎstma
astmatičan	astmǎtitʃan
astmatičar	astmǎtitʃaːr
astralan	ǎstraːlan
astrobiologija	astrobiolǒgija
astrofizika	astrofǐzika
astrofizičar	astrofǐzitʃaːr
astrogeologija	astrogeolǒgija
astrolog	astrǒlog
astrologija	astrolǒgija
astrološki	astrǒloʃki
astrološki	astrǒloʃkiː
astronaut	astronǎut
astronautika	astronaǔtika
astronomija	astronǒmija
astronomijski	astronǒmiːjskiː
astronomski	astrǒnomskiː
asturija	ǎstuːrija
asturijac	astǔriːjats
asturijski	ǎstuːriːjskiː
asuan	ǎsuan
ataman	atǎmaːn
atar	âtaːr
ateist	atěist
ateizam	ateǐzam
atena	atěːna
atentat	atěntaːt
atentator	atěntaːtor
aterirati	aterǐːrati
atina	atǐːna
atički	ǎtitʃkiː
atlanta	atlǎnta
atlantida	atlantǐːda
atlantik	atlǎntik
atlantski	ǎtlantskiː
atlet	ǎtleːt
atletika	atlětika
atletičar	atlětitʃaːr
atletičarka	atlětitʃaːrka
atletski	ǎtleːtskiː
atmosfera	atmosfěːra
atom	ǎtoːm
atomizacija	atomizǎːtsija
atomizirati	atomizǐːrati
atomski	ǎtoːmskiː
atonalan	âtonaːlan
atrakcija	atrǎktsija
atraktivan	âtraktiːʋan
atribut	atrǐbuːt
atrofija	atrǒfija
audicija	audǐːtsija
audiolog	audiǒlog
audiologija	audiolǒgija
augmentativ	ǎugmentatiːʋ
aukcija	aǔktsija
aureola	aurěola
australac	austrǎːlats
australija	aǔstraːlija
australijanac	australijǎːnats
australijanski	australǐjaːnskiː
australijski	aǔstraːliːjskiː
australski	aǔstraːlski
australski	aǔstraːlskiː
austrija	ǎustrija
austrijanac	austrijǎːnats
austrijanski	austrǐjaːnskiː
austrijski	ǎustriːjski
austrijski	ǎustriːjskiː
austrougarski	austroǔgarski
austrougarski	austroǔgarskiː
autarhija	autǎrxija
autarkija	autǎrkija
autentičan	autěntitʃan
autentičnost	autěntitʃnoːst
autizam	autǐzam
auto	ǎuto
autobiografski	autobiǒgrafski
autobiografski	autobiǒgrafskiː
autobus	autǒːbus
autocesta	autotsěsta
autodidakt	autodǐdakt
autohton	autǒxton
autokefalan	autokěfaːlan
autokracija	autokrǎtsija
autokrat	autǒkraːt
automat	autǒmaːt
automatski	autǒmatski
automatski	autǒmatskiː
automehaničar	automexǎnitʃaːr
automobil	automǒbiːl
automobilist	automobǐlist
automobilistički	automobilǐstitʃki
automobilistički	automobilǐstitʃkiː
automobilski	automǒbilskiː
autonoman	ǎutonoːman
autonomaš	autonǒmaːʃ
autonomaški	autonǒmaːʃki
autonomaški	autonǒmaːʃkiː
autonomaštvo	autonomǎːʃtʋo
autonomija	autonǒmija
autonomist	autonǒmist
autonomistički	autonomǐstitʃki
autonomistički	autonomǐstitʃkiː
autoportret	autopǒrtreːt
autopraonica	autopraǒːnitsa
autopsija	autǒpsija
autoput	ǎutopuːt
autor	ǎutor
autorica	ǎutoritsa
autoritaran	âutoritaːran
autoritarnost	autoritǎːrnoːst
autoritativan	âutoritatiːʋan
autoritativno	âutoritatiːʋno
autoritativnost	autoritatǐːʋnoːst
autoritet	autorǐteːt
autorizacija	autorizǎːtsija
autorizirati	autorizǐːrati
autorski	ǎutorski
autorski	ǎutorskiː
autorstvo	autǒːrstʋo
autostop	ǎutostop
autostrada	ǎutostraːda
autosugestija	autosugěstija
autsajder	autsǎjder
autsajderski	autsǎjderski
autsajderski	autsǎjderskiː
avaj	ǎʋaːj
avangarda	ǎʋangaːrda
avangardni	ǎʋangaːrdniː
avans	ǎʋans
avantura	aʋantǔːra
avanturist	aʋantǔrist
avanturistički	aʋanturǐstitʃki
avanturistički	aʋanturǐstitʃkiː
avanzirati	aʋanzǐːrati
avarski	ǎʋaːrskiː
avatar	aʋǎtaːr
avaz	ǎʋaːz
avdest	ǎʋdest
avenija	avěːnija
averzija	aʋěrzija
avestički	aʋěstitʃkiː
avganistan	aʋganǐstaːn
avganistanski	aʋganǐstaːnskiː
avijacija	aʋijǎːtsija
avijatičar	aʋijǎtitʃaːr
aviokompanija	aʋiokompǎnija
avion	aʋǐoːn
avionski	aʋǐonski
