а	a
аклиматизација	aklimatizǎːtsija
аклиматизацијски	aklimatizǎːtsiːjskiː
аклиматизирати	aklimatizǐːrati
ако	âko
аков	ǎkoʋ
акомодација	akomodǎːtsija
акомодирати	akomodǐːrati
аконтација	akontǎːtsija
аконтирати	akontǐːrati
аконто	akǒnto
акопрем	âkoprem
акорд	ǎkord
акредитив	akredǐtiːʋ
акробат	akrǒbat
акробатика	akrobǎtika
акробатски	akrǒbatski
акробатски	akrǒbatskiː
акроним	akrǒnim
акропола	akrǒpola
акростих	âkrostix
аксиологија	aksiolǒgija
аксиом	aksǐoːm
акт	âkt
актер	ǎkteːr
активан	âktiːʋan
активација	aktiʋǎːtsija
активизам	aktiʋǐzam
активизирати	aktiʋizǐːrati
активирати	aktiʋǐːrati
активист	aktǐʋist
активисткиња	aktǐʋistkiɲa
активно	âktiːʋno
активност	aktǐːʋnoːst
актинологија	aktinolǒgija
актовка	âktoːʋka
актуалан	âktuaːlan
актуализам	aktualǐzam
актуализирати	aktualizǐːrati
актуелан	âktueːlan
акузатив	âkuzatiːʋ
акултурација	akulturǎːtsija
акумулатор	akumǔlaːtor
акумулаторски	akumulâtorskiː
акумулаторски	akumǔlaːtorskiː
акумулација	akumulǎːtsija
акумулирати	akumulǐːrati
акупунктура	akupunktǔːra
акустика	akǔstika
акустичан	akǔstitʃan
акустички	akǔstitʃkiː
акутан	âkuːtan
акцелератор	aktselěraːtor
акцелерација	aktselerǎːtsija
акценат	ǎktsenat
акцент	ǎktsent
акцентирати	aktsentǐːrati
акцептор	ǎktseptor
акција	ǎktsija
акцијски	ǎktsiːjskiː
акшам	ǎkʃam
ала	ǎla
ала	ǎːla
алабама	alabǎma
аларм	ǎlarm
алармантан	alarmǎntan
алармантно	alarmǎntno
алармни	ǎlarmniː
алат	ǎlaːt
алатни	ǎlaːtniː
албанац	albǎːnats
албанизација	albanizǎːtsija
албанизирати	albanizǐːrati
албанија	ǎlbaːnija
албанка	ǎlbaːnka
албанолог	albanǒlog
албанологија	albanolǒgija
албанологијски	albanolǒgiːjskiː
албанолошки	albanǒloʃki
албанолошки	albanǒloʃkiː
албанолошкиња	albanǒloʃkiɲa
албански	ǎlbaːnski
албански	ǎlbaːnskiː
албатрос	ǎlbatros
албин	ǎlbiːn
албинизам	albinǐzam
албум	ǎlbuːm
алвеола	alʋeǒːla
алвеолар	alʋeǒlaːr
алвеоларан	âlʋeolaːran
алгебарски	ǎlgeːbarski
алгебарски	ǎlgeːbarskiː
алгебра	ǎlgeːbra
алгологија	algolǒgija
алгонкијски	algǒnkiːjskiː
алгоритам	algorǐtam
алегоричан	alegǒritʃan
алегорија	alegǒrija
александар	alěksaːndar
александрија	aleksǎndrija
алем	ǎlem
алем	ǎːlem
алергичан	alěrgitʃan
алергичар	alěrgitʃar
алергично	alěrgitʃno
алергичност	alěrgitʃnoːst
алерголог	alergǒlog
алергологија	alergolǒgija
алерголошки	alergǒloʃki
алерголошки	alergǒloʃkiː
алеутски	alěutskiː
алжир	ǎlʒiːr
алжирац	alʒǐːrats
алжирка	ǎlʒiːrka
алжирски	ǎlʒiːrskiː
алзашки	ǎlzaʃki
алзашки	ǎlzaʃkiː
али	âli
алигатор	alǐgaːtor
алитерација	aliterǎːtsija
алијанса	alǐjansa
алијенација	alijenǎːtsija
алка	âːlka
алкалоид	alkalǒiːd
алкохол	ǎlkoxol
алкохолизам	alkoxolǐzam
алкохолизиран	alkoxolǐziːran
алкохолизирати	alkoxolizǐːrati
алкохоличар	alkoxǒlitʃaːr
алкохолни	ǎlkoxolniː
алкохолно	ǎlkoxolnoː
алмаатски	almaâtskiː
алманах	almǎnax
аломорф	âlomorf
алотроп	alǒtrop
алофон	âlofoːn
алпинист	alpǐnist
алпински	ǎlpiːnskiː
алпски	âːlpskiː
алтерација	alterǎːtsija
алтернативан	âlternatiːʋan
алтернативац	alternatǐːʋats
алтернација	alternǎːtsija
алтиметар	ǎltimetar
алтруизам	altruǐzam
алтруистички	altruǐstitʃki
алтруистички	altruǐstitʃkiː
алувијалан	âluʋijaːlan
алудирати	aludǐːrati
алузија	ǎluːzija
алфа	âlfa
алфабет	alfǎbeːt
алфабетизам	alfabetǐzam
алфабетски	alfǎbeːtskiː
алхамиадо	alxamiǎːdo
ама	âma
амазонски	amǎzoːnski
амазонски	amǎzoːnskiː
амалгам	amǎlgaːm
аман	ǎmaːn
амандман	amǎndmaːn
аматер	amǎteːr
аматеризам	amaterǐzam
аматерски	amǎteːrski
аматерски	amǎteːrskiː
аматерство	amatěːrstʋo
амајлија	amǎjlija
амбалажа	ambalǎːʒa
амбасада	ambasǎːda
амбасадор	ambǎsaːdor
амбасадорски	ambǎsaːdorski
амбасадорски	ambǎsaːdorskiː
амбивалентан	ambiʋǎlentan
амбивалентност	ambiʋǎlentnoːst
амбиваленција	ambiʋalěntsija
амбигвитет	ambigʋǐteːt
амбигвитетан	âmbigʋiteːtan
амбис	ǎmbis
амбициозан	âmbitsioːzan
амбициозно	âmbitsioːzno
амбијент	ambǐjent
амбијенталан	âmbijentaːlan
амброзија	ǎmbroːzija
амбулантни	ambǔlantniː
амбулантски	ambǔlantskiː
амеба	aměːba
амебни	ǎmeːbniː
амелиорација	ameliorǎːtsija
амер	âmer
америка	aměrika
американац	amerikǎːnats
американизам	amerikanǐzam
американизирати	amerikanizǐːrati
американка	amerǐkaːnka
амерички	aměritʃki
амерички	aměritʃkiː
аметист	amětist
аметице	ǎmetitse
аминокиселина	aminokiselǐna
амиџа	ǎmidʒa
амнезија	ǎmneːzija
амнестирати	amnestǐːrati
амо	âːmo
амодер	âːmoder
аморалан	âmoraːlan
аморалност	amorǎːlnoːst
амортизација	amortizǎːtsija
амортизацијски	amortizǎːtsiːjskiː
аморфан	ǎmorfan
аморфно	ǎmorfno
амплитуда	amplitǔːda
амплификација	amplifikǎːtsija
ампутација	amputǎːtsija
ампутирати	amputǐːrati
амстердам	ǎmsterdam
амстердамски	ǎmsterdamskiː
амулет	amǔlet
амфибија	ǎmfiːbija
амфитеатар	amfitěaːtar
амфитеатралан	amfitěatraːlan
амфора	ǎmfora
амхарски	ǎmxarskiː
ана	âna
ана	ǎːna
анабаза	anabǎːza
анаболизам	anabolǐzam
анаболик	anabǒlik
анаграм	anǎgram
анадиплоза	anadiplǒːza
анадолија	anadǒːlija
анаеробан	ǎnaeroban
анакронизам	anakronǐzam
анакронистичан	anakronǐstitʃan
анакроничан	anakrǒnitʃan
аналгезија	anǎlgeːzija
аналгетички	analgětitʃki
аналгетички	analgětitʃkiː
аналептик	analěptik
анали	anǎːli
анализа	analǐːza
анализатор	analǐzaːtor
анализирати	analizǐːrati
аналитичан	analǐtitʃan
аналитичар	analǐtitʃaːr
анални	ǎnaːlniː
аналоган	ânalogan
аналогија	analǒgija
аналогијски	analǒgiːjskiː
аналогно	ânalogno
аналошки	anǎloʃki
аналошки	anǎloʃkiː
аналфабет	analfǎbeːt
аналфабетизам	analfabetǐzam
аналфабетски	analfǎbetski
аналфабетски	analfǎbetskiː
анамнеза	anamněːza
ананас	ânanas
анархизам	anarxǐzam
анархист	anǎrxist
анархистички	anarxǐstitʃki
анархистички	anarxǐstitʃkiː
анархичан	anǎrxitʃan
анархичност	anǎrxitʃnoːst
анархија	anǎrxija
анасон	anǎsoːn
анастрофа	anastrǒːfa
анатемизирати	anatemizǐːrati
анатолија	anatǒːlija
анатом	anǎtoːm
анатомија	anatǒmija
анахронизам	anaxronǐzam
ангажиран	angǎʒiːran
ангажирати	angaʒǐːrati
ангелологија	angelolǒgija
ангиологија	angiolǒgija
англизам	anglǐzam
англикан	anglǐkaːn
англиканац	anglikǎːnats
англикански	anglǐkaːnskiː
англист	ǎnglist
англистика	anglǐstika
англистички	anglǐstitʃki
англистички	anglǐstitʃkiː
англицизам	anglitsǐzam
англоамерика	angloaměrika
англоамерички	angloaměritʃkiː
англосаксонац	anglosaksǒːnats
англосаксонски	anglosǎksoːnskiː
англосаски	anglǒsaskiː
англофил	anglǒfiːl
англофоб	anglǒfoːb
ангола	angôːla
анголац	angǒːlats
анголка	ǎngoːlka
анголски	ǎngolskiː
андалузија	andǎluːzija
андалузијски	andǎluzijskiː
андалуски	andǎluskiː
анде	âːnde
андора	andôːra
андорац	andǒːrats
андорски	ǎndorskiː
андрија	ǎndrija
андрокло	andrǒklo
андрологија	androlǒgija
андромаха	andrǒmaxa
андромеда	andrǒmeda
анегдота	anegdǒta
анегдоталан	anegdǒtaːlan
анегдоталност	anegdotǎːlnoːst
анегдотичан	anegdǒtitʃan
анегдотичност	anegdǒtitʃnoːst
анегдотски	aněgdotski
анегдотски	aněgdotskiː
анексиони	âneksioːniː
анексионист	aneksiǒnist
анексионистички	aneksionǐstitʃki
анексионистички	aneksionǐstitʃkiː
анексија	aněksija
анексијски	aněksiːjski
анексијски	aněksiːjskiː
анектирати	anektǐːrati
анемичан	aněmitʃan
анероид	anerǒiːd
анестезија	anestězija
анестетик	anestětik
анилин	anǐliːn
анилински	anǐliːnskiː
анималан	ânimaːlan
аниматор	anǐmaːtor
анимација	animǎːtsija
анимизам	animǐzam
анимирати	animǐːrati
анимозитет	animozǐteːt
анис	ǎnis
аниса	ǎnisa
анихилација	anixilǎːtsija
анка	âːnka
анкара	ǎnkara
анкета	ankěta
анкетар	ankětaːr
анкетирати	anketǐːrati
анкетни	ǎnketniː
анода	anǒːda
анодни	ǎnoːdniː
аномалија	anomǎlija
анониман	ânoniːman
анонимно	ânoniːmno
анонимност	anonǐːmnoːst
аноргански	ânorgaːnskiː
анотирати	anotǐːrati
антагонизам	antagonǐzam
антарктик	antǎrktik
анте	ǎːnte
антиалкохолизам	antialkoxolǐzam
антибиотик	antibiǒtik
антидржавни	antidřʒaːʋniː
антиимперијализам	antiimperijalǐzam
антик	ǎntik
антика	ǎntika
антиквар	antǐkʋaːr
антикваран	ântikʋaːran
антиклинала	antiklinǎːla
антикни	ǎntikniː
антикомунизам	antikomunǐzam
антикомунист	antikomǔnist
антикомунистички	antikomunǐstitʃki
антикомунистички	antikomunǐstitʃkiː
антилогаритам	antilogarǐtam
антиматерија	antimǎteːrija
антиметабола	antimetǎbola
антимон	ǎntimon
антипатичан	antipǎtitʃan
антипатично	antipǎtitʃno
антипод	antǐpoːd
антирелигиозан	antirěligioːzan
антисемитизам	antisemitǐzam
антисемитски	antisěmiːtski
антисемитски	antisěmiːtskiː
антисептички	antisěptitʃki
антисептички	antisěptitʃkiː
антисоцијалан	antisǒtsijaːlan
антисоцијализам	antisotsijalǐzam
антисоцијалистички	antisotsijalǐstitʃki
антисоцијалистички	antisotsijalǐstitʃkiː
антитеза	antǐteza
антитело	ǎntiteːlo
антитијело	ǎntitjeːlo
антифашизам	antifaʃǐzam
антифашист	antifǎʃist
антифашистички	antifaʃǐstitʃki
антифашистички	antifaʃǐstitʃkiː
антифашисткиња	antifǎʃistkiɲa
антифеминизам	antifeminǐzam
антихерој	antixěroːj
антициклона	antitsiklǒːna
антиципација	antitsipǎːtsija
антиципирати	antitsipǐːrati
антички	ǎntitʃkiː
антологија	antolǒgija
антоним	antǒniːm
антонимија	antonǐmija
антономазија	antonomǎːzija
антракс	ǎntraks
антропоидан	ântropoiːdan
антрополог	antropǒlog
антропологија	antropolǒgija
антрополошки	antropǒloʃki
антрополошки	antropǒloʃkiː
антропоморфан	antropomǒrfan
антропоморфизам	antropomorfǐzam
антун	ǎntuːn
анулирати	anulǐːrati
анђелак	andʑěːlak
анђелић	âːndʑelitɕ
анђелски	âːndʑelskiː
анђелчић	andʑěltʃitɕ
анђео	âːndʑeo
анђеоски	andʑeǒski
анђеоски	andʑeǒskiː
анџар	ǎndʒaːr
аорист	âorist
аористни	âoristniː
аорта	ǎoːrta
апанажа	apanǎːʒa
апаратчик	aparǎttʃik
апартан	ǎpartan
апартхејд	âpartxejd
апатичан	apǎtitʃan
апатично	apǎtitʃno
апатија	apǎtija
апатрид	apǎtriːd
апел	ǎpel
апелирати	apelǐːrati
аперитив	aperǐtiːʋ
апетит	apětiːt
аплаудирати	aplaudǐːrati
аплауз	ǎplauz
апликација	aplikǎːtsija
аплицирати	aplitsǐːrati
аподиктички	apodǐktitʃki
апозиција	apozǐːtsija
апокалипса	apokalǐpsa
апокалиптичан	apokalǐptitʃan
апокрифан	apǒkrifan
аполитичан	apolǐtitʃan
аполитички	apolǐtitʃki
аполитички	apolǐtitʃkiː
апологет	apolǒgeːt
апологетика	apologětika
апологија	apolǒgija
аполон	apǒloːn
апостол	ǎpostol
апостроф	ǎpostrof
апострофа	apǒstrofa
апострофирати	apostrofǐːrati
апотеоза	apoteǒːza
апрецијација	apretsijǎːtsija
април	ǎpriːl
априлски	ǎpriːlskiː
априоран	âprioːran
апроксимативан	âproksimatiːʋan
апроксимативно	âproksimatiːʋno
апроксимирати	aproksimǐːrati
апсида	ǎpsida
апсолвирати	apsolʋǐːrati
апсолут	âpsoluːt
апсолутан	âpsoluːtan
апсолутизам	apsolutǐzam
апсолутизирати	apsolutizǐːrati
апсолутно	âpsoluːtno
апсолуција	apsolǔːtsija
апсорбирати	apsorbǐːrati
апсорпција	apsǒrptsija
апстиненција	apstiněntsija
апстинирати	apstinǐːrati
апстракт	ǎpstrakt
апстрактан	ǎpstraktan
апстрактно	ǎpstraktno
апстракција	apstrǎktsija
апстрахирати	apstraxǐːrati
апсурдан	ǎpsurdan
апсурдно	ǎpsurdno
апсурдност	ǎpsurdnoːst
апсциса	apstsǐsa
арабеска	arǎbeska
арабица	arǎbitsa
арабија	ǎraːbija
арабијски	arǎːbiːjskiː
арабљанин	arǎːbʎaniːn
арамејски	aramějskiː
аранжирати	aranʒǐːrati
аранжман	arǎnʒmaːn
арапин	ǎrapin
арапски	ǎrapskiː
арбитар	ǎrbitar
арбитража	arbitrǎːʒa
арбитражни	ârbitraːʒniː
арбитраран	ârbitraːran
арбун	ǎrbuːn
аргат	ǎrgat
аргентина	argentǐːna
аргентинац	argentǐːnats
аргентински	argěntiːnskiː
аргон	ǎrgoːn
аргумент	argǔment
аргументација	argumentǎːtsija
аргументирано	arguměntiːrano
аребица	arěbitsa
арена	arěːna
арес	âːres
арзухал	arzǔxaːl
аристократ	aristǒkrat
аристократија	aristokrǎtija
аристократкиња	aristǒkratkiɲa
аристократски	aristǒkratski
аристократски	aristǒkratskiː
аристокрација	aristokrǎtsija
аритметика	aritmětika
аритметички	aritmětitʃki
аритметички	aritmětitʃkiː
аритмија	arǐtmija
арија	âːrija
аријски	âːriːjskiː
арматура	armatǔːra
арменац	arměːnats
арменија	ǎrmeːnija
арменски	ǎrmeːnskiː
армија	ǎrmija
арогантан	arogǎntan
арогантно	arogǎntno
ароганција	arogǎntsija
арома	arǒːma
ароматичан	aromǎtitʃan
арсен	ǎrseːn
арсенал	arsěnaːl
артерија	ǎrteːrija
артеријски	ǎrteːriːjskiː
артефакт	ârtefakt
артикулација	artikulǎːtsija
артикулацијски	artikulǎːtsiːjskiː
артист	ǎrtist
артистички	artǐstitʃki
артистички	artǐstitʃkiː
артичока	artitʃǒːka
артиљерац	artiʎěːrats
артиљерија	artiʎěrija
артиљеријски	artiʎěriːjskiː
артиљерски	artǐʎeːrski
артиљерски	artǐʎeːrskiː
артритис	artrǐtis
архаизам	arxaǐzam
архаизирати	arxaizǐːrati
архаик	arxǎik
архаичан	arxǎitʃan
архаично	arxǎitʃno
археолог	arxeǒlog
археологија	arxeolǒgija
археолошки	arxeǒloʃkiː
архив	ǎrxiːʋ
архивар	arxǐʋaːr
архивист	arxǐʋist
архиепископ	arxiěpiskop
архипелаг	arxipělaːg
архитект	arxǐtekt
архитектица	arxǐtektitsa
архитектонски	arxitěktoːnskiː
архитектура	arxitektǔːra
архитектурни	arxitěktuːrniː
архиђакон	ǎrxidʑakon
аршин	ǎrʃiːn
ас	âs
асамски	ǎsamskiː
асептичан	asěptitʃan
асептички	asěptitʃkiː
асиметричан	asimětritʃan
асиметрија	asimětrija
асимилација	asimilǎːtsija
асирац	asǐːrats
асирија	asǐːrija
асирологија	asirolǒgija
асирски	ǎsiːrskiː
асистент	asǐstent
асистенција	asistěntsija
асистирати	asistǐːrati
аскетизам	asketǐzam
асонанца	asǒnaːntsa
асортиман	asortǐmaːn
асоцирати	asotsǐːrati
асоцијалан	âsotsijaːlan
асоцијацизам	asotsijatsǐzam
асоцијационизам	asotsijatsionǐzam
аспект	ǎspekt
аспирин	aspǐriːn
аспра	âspra
астероид	asterǒiːd
астма	ǎstma
астматичан	astmǎtitʃan
астматичар	astmǎtitʃaːr
астралан	ǎstraːlan
астробиологија	astrobiolǒgija
астрогеологија	astrogeolǒgija
астролог	astrǒlog
астрологија	astrolǒgija
астролошки	astrǒloʃki
астролошки	astrǒloʃkiː
астронаут	astronǎut
астронаутика	astronaǔtika
астрономија	astronǒmija
астрономијски	astronǒmiːjskiː
астрономски	astrǒnomskiː
астрофизика	astrofǐzika
астрофизичар	astrofǐzitʃaːr
астурија	ǎstuːrija
астуријац	astǔriːjats
астуријски	ǎstuːriːjskiː
асуан	ǎsuan
асфалт	ǎsfalt
асфалтирати	asfaltǐːrati
атаман	atǎmaːn
атар	âtaːr
атеизам	ateǐzam
атеист	atěist
атена	atěːna
атентат	atěntaːt
атентатор	atěntaːtor
атерирати	aterǐːrati
атина	atǐːna
атички	ǎtitʃkiː
атланта	atlǎnta
атлантида	atlantǐːda
атлантик	atlǎntik
атлантски	ǎtlantskiː
атлетика	atlětika
атлетичар	atlětitʃaːr
атлетичарка	atlětitʃaːrka
атлетски	ǎtleːtskiː
атмосфера	atmosfěːra
атом	ǎtoːm
атомизација	atomizǎːtsija
атомизирати	atomizǐːrati
атомски	ǎtoːmskiː
атоналан	âtonaːlan
атрактиван	âtraktiːʋan
атракција	atrǎktsija
атрибут	atrǐbuːt
атрофија	atrǒfija
аугментатив	ǎugmentatiːʋ
аудиолог	audiǒlog
аудиологија	audiolǒgija
аудиција	audǐːtsija
аукција	aǔktsija
ауреола	aurěola
аустралац	austrǎːlats
аустралија	aǔstraːlija
аустралијанац	australijǎːnats
аустралијански	australǐjaːnskiː
аустралијски	aǔstraːliːjskiː
аустралски	aǔstraːlski
аустралски	aǔstraːlskiː
аустрија	ǎustrija
аустријанац	austrijǎːnats
аустријански	austrǐjaːnskiː
аустријски	ǎustriːjski
аустријски	ǎustriːjskiː
аустроугарски	austroǔgarski
аустроугарски	austroǔgarskiː
аутаркија	autǎrkija
аутархија	autǎrxija
аутентичан	autěntitʃan
аутентичност	autěntitʃnoːst
аутизам	autǐzam
ауто	ǎuto
аутобиографски	autobiǒgrafski
аутобиографски	autobiǒgrafskiː
аутобус	autǒːbus
аутодидакт	autodǐdakt
аутокефалан	autokěfaːlan
аутократ	autǒkraːt
аутокрација	autokrǎtsija
аутомат	autǒmaːt
аутоматски	autǒmatski
аутоматски	autǒmatskiː
аутомеханичар	automexǎnitʃaːr
аутомобилист	automobǐlist
аутомобилистички	automobilǐstitʃki
аутомобилистички	automobilǐstitʃkiː
аутомобилски	automǒbilskiː
аутономан	ǎutonoːman
аутономашки	autonǒmaːʃki
аутономашки	autonǒmaːʃkiː
аутономаштво	autonomǎːʃtʋo
аутономист	autonǒmist
аутономистички	autonomǐstitʃki
аутономистички	autonomǐstitʃkiː
аутономија	autonǒmija
аутопортрет	autopǒrtreːt
аутопраоница	autopraǒːnitsa
аутопсија	autǒpsija
аутопут	ǎutopuːt
аутор	ǎutor
ауторизација	autorizǎːtsija
ауторитаран	âutoritaːran
ауторитарност	autoritǎːrnoːst
ауторитативан	âutoritatiːʋan
ауторитативно	âutoritatiːʋno
ауторитативност	autoritatǐːʋnoːst
ауторитет	autorǐteːt
ауторски	ǎutorski
ауторски	ǎutorskiː
ауторство	autǒːrstʋo
аутостоп	ǎutostop
аутострада	ǎutostraːda
аутосугестија	autosugěstija
аутохтон	autǒxton
аутсајдер	autsǎjder
аутсајдерски	autsǎjderski
аутсајдерски	autsǎjderskiː
афганистан	afganǐstaːn
афганистански	afganǐstaːnskiː
афект	ǎfekt
афектација	afektǎːtsija
афектирати	afektǐːrati
афел	ǎfel
афера	afěːra
аферим	afěrim
афикс	ǎfiks
афинитет	afinǐteːt
афирмативан	âfirmatiːʋan
афирмативно	âfirmatiːʋno
афирмација	afirmǎːtsija
афирмиран	afǐrmiːraːn
афирмирати	afirmǐːrati
афоризам	aforǐzam
афорист	afǒrist
афористички	aforǐstitʃkiː
африка	ǎfrika
африканац	afrikǎːnats
африканизам	afrikanǐzam
африканизација	afrikanizǎːtsija
африканка	afrǐkaːnka
африкански	afrǐkaːnskiː
африката	afrikǎːta
афрички	ǎfritʃkiː
афродизијак	afrodǐzijak
афродита	afrǒdita
ахат	âxaːt
ахбаб	ǎxbaːb
ахил	ǎxil
ахирет	ǎːxiret
ацетат	atsětaːt
ацетилен	atsetǐleːn
ацетон	atsětoːn
ашенбехер	ǎʃenbexer
ашигџија	aʃǐgdʒija
ашик	ǎʃik
ашиклија	aʃǐklija
ашиклук	aʃǐkluk
ашиковати	ǎʃikoʋati
ађутант	adʑǔtant
ајам	ǎːjam
ајатолах	ajatǒlax
ајвар	ǎjʋaːr
ајде	ǎjde
ајкула	âjkula
ајме	ǎjme
ајмех	ǎjmex
ајмо	ǎjmo
аљамиадо	aʎamiado
аљаска	ǎʎaska
