a	a˧˧
bợn	bɤn˨ˀ˩ʔ
bôn	bon˧˧
bốn	bon˨˦
bồn	bon˧˨
bổn	bon˧˩˨
bộn	bon˨ˀ˩ʔ
bon	bɔn˧˧
bón	bɔn˨˦
bòn	bɔn˧˨
bỏn	bɔn˧˩˨
bọn	bɔn˨ˀ˩ʔ
bông	boŋm˧˧
bống	boŋm˨˦
bống	boŋm˨˦
bồng	boŋm˧˨
bổng	boŋm˧˩˨
bổng	boŋm˧˩˨
bỗng	boŋm˧ˀ˥
bộng	boŋm˨ˀ˩ʔ
bong	bɔŋm˧˧
bóng	bɔŋm˨˦
bòng	bɔŋm˧˨
bỏng	bɔŋm˧˩˨
bọng	bɔŋm˨ˀ˩ʔ
bôn-sê-vích	bon˧˧-se˧˧-vik˦˥
boóc	bɔkp˦˥
boong	bɔŋm˧˧
bớp	bɤp˦˥
bợp	bɤp˨ˀ˩
bốp	bop˦˥
bộp	bop˨ˀ˩
bóp	bɔp˦˥
bọp	bɔp˨ˀ˩
bớt	bɤt˦˥
bợt	bɤt˨ˀ˩
bột	bot˨ˀ˩
bọt	bɔt˨ˀ˩
búa	buə˨˦
bùa	buə˧˨
bủa	buə˧˩˨
bừa	bɯə˧˨
bữa	bɯə˧ˀ˥
bữa	bɯə˧ˀ˥
bu	bu˧˧
bú	bu˨˦
bù	bu˧˨
bủ	bu˧˩˨
bụ	bu˨ˀ˩ʔ
bư	bɯ˧˧
bứ	bɯ˨˦
bự	bɯ˨ˀ˩ʔ
bức	bɯk˦˥
bực	bɯk˨ˀ˩
bui	buj˧˧
búi	buj˨˦
bùi	buj˧˨
bụi	buj˨ˀ˩ʔ
bum	bum˧˧
bùm	bum˧˨
bun	bun˧˧
bún	bun˨˦
bùn	bun˧˨
bủn	bun˧˩˨
bung	buŋm˧˧
búng	buŋm˨˦
bùng	buŋm˧˨
bủng	buŋm˧˩˨
bụng	buŋm˨ˀ˩ʔ
bụng	buŋm˨ˀ˩ʔ
bưng	bɯŋ˧˧
bưng;	bɯŋ˧˧
bừng	bɯŋ˧˨
bửng	bɯŋ˧˩˨
buộc	buək˨ˀ˩
bước	bɯək˦˥
buổi	buəj˧˩˨
bưởi	bɯəj˧˩˨
buồm	buəm˧˨
bươm	bɯəm˧˧
bướm	bɯəm˨˦
buôn	buən˧˧
buồn	buən˧˨
bươn	bɯən˧˧
buông	buəŋ˧˧
buồng	buəŋ˧˨
bương	bɯəŋ˧˧
bướng	bɯəŋ˨˦
buốt	buət˦˥
buột	buət˨ˀ˩
bươu	bɯəw˧˧
bướu	bɯəw˨˦
búp	bup˦˥
bút	but˦˥
bụt	but˨ˀ˩
bụt	but˨ˀ˩
bứt	bɯt˦˥
bưu	bɯw˧˧
bửu	bɯw˧˩˨
cách	kɛk˦˥
cạch	kɛk˨ˀ˩
các	kak˦˥
cắc	kăk˦˥
cạc	kak˨ˀ˩
cặc	kăk˨ˀ˩
cấc	kɤ̆k˦˥
các-tông	kak˦˥-toŋm˧˧
cai	kaj˧˧
cái	kaj˨˦
cái	kaj˨˦
cài	kaj˧˨
cải	kaj˧˩˨
cãi	kaj˧ˀ˥
ca	ka˧˧
cá	ka˨˦
cá	ka˨˦
cà	ka˧˨
cả	ka˧˩˨
cả	ka˧˩˨
cả;	ka˧˩˨
cam	kam˧˧
cám	kam˨˦
cám	kam˨˦
căm	kăm˧˧
cắm	kăm˨˦
cằm	kăm˧˨
cảm	kam˧˩˨
cạm	kam˨ˀ˩ʔ
cặm	kăm˨ˀ˩ʔ
câm	kɤ̆m˧˧
cấm	kɤ̆m˨˦
cầm	kɤ̆m˧˨
cầm	kɤ̆m˧˨
cẩm	kɤ̆m˧˩˨
cậm	kɤ̆m˨ˀ˩ʔ
cang	kaŋ˧˧
cáng	kaŋ˨˦
càng	kaŋ˧˨
càng	kaŋ˧˨
căng	kăŋ˧˧
cẳng	kăŋ˧˩˨
cảng	kaŋ˧˩˨
câng	kɤ̆ŋ˧˧
canh	kɛŋ˧˧
cánh	kɛŋ˨˦
cành	kɛŋ˧˨
cảnh	kɛŋ˧˩˨
cạnh	kɛŋ˨ˀ˩ʔ
can	kan˧˧
cán	kan˨˦
càn	kan˧˨
căn	kăn˧˧
cắn	kăn˨˦
cằn	kăn˧˨
cẳn	kăn˧˩˨
cản	kan˧˩˨
cạn	kan˨ˀ˩ʔ
cặn	kăn˨ˀ˩ʔ
cân	kɤ̆n˧˧
cân	kɤ̆n˧˧
cấn	kɤ̆n˨˦
cần	kɤ̆n˧˨
cần	kɤ̆n˧˨
cẩn	kɤ̆n˧˩˨
cận	kɤ̆n˨ˀ˩ʔ
cao	kaw˧˧
cao	kaw˧˧
cáo	kaw˨˦
cáo	kaw˨˦
cào	kaw˧˨
cảo	kaw˧˩˨
cạo	kaw˨ˀ˩ʔ
cà-phê	ka˧˨-fe˧˧
cáp	kap˦˥
cắp	kăp˦˥
cắp	kăp˦˥
cạp	kap˨ˀ˩
cặp	kăp˨ˀ˩
cấp	kɤ̆p˦˥
cập	kɤ̆p˨ˀ˩
cát	kat˦˥
cắt	kăt˦˥
cất	kɤ̆t˦˥
cật	kɤ̆t˨ˀ˩
cau	kăw˧˧
cáu	kăw˨˦
càu	kăw˧˨
cảu	kăw˧˩˨
câu	kɤ̆w˧˧
câu	kɤ̆w˧˧
cấu	kɤ̆w˨˦
cầu	kɤ̆w˧˨
cẩu	kɤ̆w˧˩˨
cậu	kɤ̆w˨ˀ˩ʔ
cay	kăj˧˧
cáy	kăj˨˦
cày	kăj˧˨
cày	kăj˧˨
cảy	kăj˧˩˨
cạy	kăj˨ˀ˩ʔ
cây	kɤ̆j˧˧
cấy	kɤ̆j˨˦
cầy	kɤ̆j˧˨
cầy;	kɤ̆j˧˨
cậy	kɤ̆j˨ˀ˩ʔ
cha	ca˧˧
cha	ca˧˧
chà	ca˧˨
chả	ca˧˩˨
chạ	ca˨ˀ˩ʔ
chác	cak˦˥
chắc	căk˦˥
chạc	cak˨ˀ˩
chặc	căk˨ˀ˩
chậc	cɤ̆k˨ˀ˩
chạch	cɛk˨ˀ˩
chai	caj˧˧
chài	caj˧˨
chài	caj˧˨
chải	caj˧˩˨
cham	cam˧˧
chàm	cam˧˨
chăm	căm˧˧
chằm	căm˧˨
chạm	cam˨ˀ˩ʔ
châm	cɤ̆m˧˧
chấm	cɤ̆m˨˦
chầm	cɤ̆m˧˨
chẩm	cɤ̆m˧˩˨
chậm	cɤ̆m˨ˀ˩ʔ
chan	can˧˧
chán	can˨˦
chăn	căn˧˧
chắn	căn˨˦
chằn	căn˧˨
chẵn	căn˧ˀ˥
chặn	căn˨ˀ˩ʔ
chân	cɤ̆n˧˧
chân	cɤ̆n˧˧
chấn	cɤ̆n˨˦
chần	cɤ̆n˧˨
chẩn	cɤ̆n˧˩˨
chận	cɤ̆n˨ˀ˩ʔ
chang	caŋ˧˧
chàng	caŋ˧˨
chàng	caŋ˧˨
chăng	căŋ˧˧
chằng	căŋ˧˨
chằng	căŋ˧˨
chẳng	căŋ˧˩˨
chảng	caŋ˧˩˨
chạng	caŋ˨ˀ˩ʔ
chặng	căŋ˨ˀ˩ʔ
châng	cɤ̆ŋ˧˧
chanh	cɛŋ˧˧
chánh	cɛŋ˨˦
chành	cɛŋ˧˨
chảnh	cɛŋ˧˩˨
chạnh	cɛŋ˨ˀ˩ʔ
chao	caw˧˧
cháo	caw˨˦
chào	caw˧˨
chảo	caw˧˩˨
chão	caw˧ˀ˥
chạo	caw˨ˀ˩ʔ
chắp	căp˦˥
chạp	cap˨ˀ˩
chạp	cap˨ˀ˩
chặp	căp˨ˀ˩
chấp	cɤ̆p˦˥
chập	cɤ̆p˨ˀ˩
chát	cat˦˥
chắt	căt˦˥
chặt	căt˨ˀ˩
chất	cɤ̆t˦˥
chật	cɤ̆t˨ˀ˩
chau	căw˧˧
cháu	căw˨˦
chàu	căw˧˨
chảu	căw˧˩˨
châu	cɤ̆w˧˧
chấu	cɤ̆w˨˦
chầu	cɤ̆w˧˨
chầu	cɤ̆w˧˨
chẫu	cɤ̆w˧ˀ˥
chậu	cɤ̆w˨ˀ˩ʔ
chậu	cɤ̆w˨ˀ˩ʔ
chay	căj˧˧
chay	căj˧˧
cháy	căj˨˦
cháy	căj˨˦
chày	căj˧˨
chày	căj˧˨
chảy	căj˧˩˨
chạy	căj˨ˀ˩ʔ
chây	cɤ̆j˧˧
chấy	cɤ̆j˨˦
chầy	cɤ̆j˧˨
chê	ce˧˧
chê	ce˧˧
chế	ce˨˦
chề	ce˧˨
che	cɛ˧˧
chè	cɛ˧˨
chẻ	cɛ˧˩˨
chếch	cek˦˥
chệch	cek˨ˀ˩
chêm	cem˧˧
chềm	cem˧˨
chễm	cem˧ˀ˥
chem	cɛm˧˧
chém	cɛm˨˦
chèm	cɛm˧˨
chẻm	cɛm˧˩˨
chen	cɛn˧˧
chén	cɛn˨˦
chèn	cɛn˧˨
chẻn	cɛn˧˩˨
chẹn	cɛn˨ˀ˩ʔ
cheng	cɛŋ˧˧
chênh	ceŋ˧˧
chếnh	ceŋ˨˦
chềnh	ceŋ˧˨
chểnh	ceŋ˧˩˨
chễnh	ceŋ˧ˀ˥
chệnh	ceŋ˨ˀ˩ʔ
cheo	ceo˧˧
chéo	ceo˨˦
chèo	ceo˧˨
chẻo	ceo˧˩˨
chép	cɛp˦˥
chẹp	cɛp˨ˀ˩
chết	cet˦˥
chết	cet˦˥
chét	cɛt˦˥
chẹt	cɛt˨ˀ˩
chêu	cɛu˧˧
chia	ciə˧˧
chìa	ciə˧˨
chĩa	ciə˧ˀ˥
chích	cik˦˥
chi	ci˧˧
chí	ci˨˦
chí	ci˨˦
chì	ci˧˨
chỉ	ci˧˩˨
chị	ci˨ˀ˩ʔ
chiếc	ciək˦˥
chiêm	ciəm˧˧
chiếm	ciəm˨˦
chiên	ciən˧˧
chiến	ciən˨˦
chiền	ciən˧˨
chiêng	ciəŋ˧˧
chiếng	ciəŋ˨˦
chiềng	ciəŋ˧˨
chiếp	ciəp˦˥
chiết	ciət˦˥
chiêu	ciəw˧˧
chiếu	ciəw˨˦
chiều	ciəw˧˨
chiều;	ciəw˧˨
chiểu	ciəw˧˩˨
chim	cim˧˧
chìm	cim˧˨
chin	cin˧˧
chín	cin˨˦
chỉn	cin˧˩˨
chinh	ciŋ˧˧
chính	ciŋ˨˦
chính	ciŋ˨˦
chình	ciŋ˧˨
chỉnh	ciŋ˧˩˨
chĩnh	ciŋ˧ˀ˥
chíp	cip˦˥
chít	cit˦˥
chiu	ciw˧˧
chíu	ciw˨˦
chịu	ciw˨ˀ˩ʔ
choác	cwak˦˥
choạc	cwak˨ˀ˩
choá	cwa˨˦
choai	cwaj˧˧
choàm	cwam˧˨
choăn	cwăn˧˧
choang	cwaŋ˧˧
choáng	cwaŋ˨˦
choàng	cwaŋ˧˨
choạng	cwaŋ˨ˀ˩ʔ
choắt	cwăt˦˥
chốc	cokp˦˥
chóc	cɔkp˦˥
chọc	cɔkp˨ˀ˩
chơ	cɤ˧˧
chớ	cɤ˨˦
chờ	cɤ˧˨
chở	cɤ˧˩˨
chợ	cɤ˨ˀ˩ʔ
chợ	cɤ˨ˀ˩ʔ
chô	co˧˧
chỗ	co˧ˀ˥
chỗ	co˧ˀ˥
cho	cɔ˧˧
cho	cɔ˧˧
chó	cɔ˨˦
chò	cɔ˧˨
chõ	cɔ˧ˀ˥
choe	cwe˧˧
choen	cwen˧˧
choèn	cwen˧˨
chơi	cɤj˧˧
chới	cɤj˨˦
chối	coj˨˦
chồi	coj˧˨
chổi	coj˧˩˨
choi	cɔj˧˧
chói	cɔj˨˦
chòi	cɔj˧˨
chọi	cɔj˨ˀ˩ʔ
chơm	cɤm˧˧
chớm	cɤm˨˦
chờm	cɤm˧˨
chôm	com˧˧
chồm	com˧˨
chòm	cɔm˧˨
chỏm	cɔm˧˩˨
chõm	cɔm˧ˀ˥
chơn	cɤn˧˧
chờn	cɤn˧˨
chôn	con˧˧
chốn	con˨˦
chồn	con˧˨
chộn	con˨ˀ˩ʔ
chon	cɔn˧˧
chỏn	cɔn˧˩˨
chọn	cɔn˨ˀ˩ʔ
chông	coŋm˧˧
chống	coŋm˨˦
chồng	coŋm˧˨
chổng	coŋm˧˩˨
chong	cɔŋm˧˧
chóng	cɔŋm˨˦
chóng	cɔŋm˨˦
chòng	cɔŋm˧˨
chỏng	cɔŋm˧˩˨
chớp	cɤp˦˥
chợp	cɤp˨ˀ˩
chộp	cop˨ˀ˩
chóp	cɔp˦˥
chớt	cɤt˦˥
chốt	cot˦˥
chột	cot˨ˀ˩
chót	cɔt˦˥
chua	cuə˧˧
chúa	cuə˨˦
chúa	cuə˨˦
chúa;	cuə˨˦
chùa	cuə˧˨
chưa	cɯə˧˧
chứa	cɯə˨˦
chừa	cɯə˧˨
chửa	cɯə˧˩˨
chữa	cɯə˧ˀ˥
chuẩn	cwɤ̆n˧˩˨
chúc	cukp˦˥
chục	cukp˨ˀ˩
chức	cɯk˦˥
chực	cɯk˨ˀ˩
chực	cɯk˨ˀ˩
chu	cu˧˧
chú	cu˨˦
chù	cu˧˨
(chủ	cu˧˩˨
chủ	cu˧˩˨
chủ	cu˧˩˨
chư	cɯ˧˧
chứ	cɯ˨˦
chừ	cɯ˧˨
chữ	cɯ˧ˀ˥
chuếch	cwek˦˥
chuệch	cwek˨ˀ˩
chuế	cwe˨˦
chuếnh	cweŋ˨˦
chuểnh	cweŋ˧˩˨
chuệnh	cweŋ˨ˀ˩ʔ
chui	cuj˧˧
chúi	cuj˨˦
chùi	cuj˧˨
chửi	cɯj˧˩˨
chum	cum˧˧
chúm	cum˨˦
chùm	cum˧˨
chũm	cum˧ˀ˥
chụm	cum˨ˀ˩ʔ
chun	cun˧˧
chùn	cun˧˨
chủn	cun˧˩˨
chũn	cun˧ˀ˥
chung	cuŋm˧˧
chúng	cuŋm˨˦
chùng	cuŋm˧˨
chùng	cuŋm˧˨
chủng	cuŋm˧˩˨
chưng	cɯŋ˧˧
chứng	cɯŋ˨˦
chừng	cɯŋ˧˨
chừng	cɯŋ˧˨
chững	cɯŋ˧ˀ˥
chuốc	cuək˦˥
chuộc	cuək˨ˀ˩
chước	cɯək˦˥
chuôi	cuəj˧˧
chuôi;	cuəj˧˧
chuối	cuəj˨˦
chuồi	cuəj˧˨
chuỗi	cuəj˧ˀ˥
chuội	cuəj˨ˀ˩ʔ
chuôm	cuəm˧˧
chuồn	cuən˧˨
chuông	cuəŋ˧˧
chuồng	cuəŋ˧˨
chuộng	cuəŋ˨ˀ˩ʔ
chương	cɯəŋ˧˧
chướng	cɯəŋ˨˦
chưởng	cɯəŋ˧˩˨
chuốt	cuət˦˥
chuột	cuət˨ˀ˩
chụp	cup˨ˀ˩
chút	cut˦˥
chụt	cut˨ˀ˩
chuyên	cwiən˧˧
chuyến	cwiən˨˦
chuyền	cwiən˧˨
chuyển	cwiən˧˩˨
chuyện	cwiən˨ˀ˩ʔ
cốc	kokp˦˥
cốc;	kokp˦˥
cộc	kokp˨ˀ˩
cóc	kɔkp˦˥
cóc	kɔkp˦˥
cọc	kɔkp˨ˀ˩
cô-đê	ko˧˧-de˧˧
cơi	kɤj˧˧
cời	kɤj˧˨
cởi	kɤj˧˩˨
côi	koj˧˧
cối	koj˨˦
cổi	koj˧˩˨
cỗi	koj˧ˀ˥
cội	koj˨ˀ˩ʔ
cội	koj˨ˀ˩ʔ
coi	kɔj˧˧
cói	kɔj˨˦
còi	kɔj˧˨
cõi	kɔj˧ˀ˥
cơ	kɤ˧˧
cớ	kɤ˨˦
cờ	kɤ˧˨
cờ	kɤ˧˨
cô	ko˧˧
cố	ko˨˦
cồ	ko˧˨
cổ	ko˧˩˨
cổ	ko˧˩˨
cổ;	ko˧˩˨
cỗ	ko˧ˀ˥
co	kɔ˧˧
có	kɔ˨˦
có	kɔ˨˦
cò	kɔ˧˨
cò	kɔ˧˨
cỏ	kɔ˧˩˨
cọ	kɔ˨ˀ˩ʔ
cơm	kɤm˧˧
cơm	kɤm˧˧
côm	kom˧˧
cốm	kom˨˦
cồm	kom˧˨
com	kɔm˧˧
cóm	kɔm˨˦
còm	kɔm˧˨
cỏm	kɔm˧˩˨
cọm	kɔm˨ˀ˩ʔ
công	koŋm˧˧
cống	koŋm˨˦
cồng	koŋm˧˨
cổng	koŋm˧˩˨
cộng	koŋm˨ˀ˩ʔ
cong	kɔŋm˧˧
cong	kɔŋm˧˧
cóng	kɔŋm˨˦
còng	kɔŋm˧˨
cỏng	kɔŋm˧˩˨
cõng	kɔŋm˧ˀ˥
công-xinh	koŋm˧˧-siŋ˧˧
cơn	kɤn˧˧
cớn	kɤn˨˦
cờn	kɤn˧˨
cỡn	kɤn˧ˀ˥
côn	kon˧˧
cồn	kon˧˨
cổn	kon˧˩˨
con	kɔn˧˧
con	kɔn˧˧
còn	kɔn˧˨
cỏn	kɔn˧˩˨
coóc	kɔkp˦˥
cốp	kop˦˥
cóp	kɔp˦˥
cọp	kɔp˨ˀ˩
cớt	kɤt˦˥
cợt	kɤt˨ˀ˩
cốt	kot˦˥
cột	kot˨ˀ˩
cót	kɔt˦˥
cọt	kɔt˨ˀ˩
cua	kuə˧˧
của	kuə˧˩˨
của;	kuə˧˩˨
cưa	kɯə˧˧
cưa	kɯə˧˧
cứa	kɯə˨˦
cửa	kɯə˧˩˨
cựa	kɯə˨ˀ˩ʔ
cúc	kukp˦˥
cục	kukp˨ˀ˩
cức	kɯk˦˥
cực	kɯk˨ˀ˩
cui	kuj˧˧
cúi	kuj˨˦
cùi	kuj˧˨
củi	kuj˧˩˨
cũi	kuj˧ˀ˥
cụi	kuj˨ˀ˩ʔ
cửi	kɯj˧˩˨
cu	ku˧˧
cú	ku˨˦
cù	ku˧˨
củ	ku˧˩˨
cũ	ku˧ˀ˥
cũ	ku˧ˀ˥
cụ	ku˨ˀ˩ʔ
cư	kɯ˧˧
cứ	kɯ˨˦
cừ	kɯ˧˨
cử	kɯ˧˩˨
cự	kɯ˨ˀ˩ʔ
cum	kum˧˧
cúm	kum˨˦
cùm	kum˧˨
cụm	kum˨ˀ˩ʔ
cung	kuŋm˧˧
cúng	kuŋm˨˦
cùng	kuŋm˧˨
củng	kuŋm˧˩˨
cũng	kuŋm˧ˀ˥
cụng	kuŋm˨ˀ˩ʔ
cưng	kɯŋ˧˧
cứng	kɯŋ˨˦
cun	kun˧˧
cùn	kun˧˨
cũn	kun˧ˀ˥
cuốc	kuək˦˥
cuộc	kuək˨ˀ˩
