-l	ɬ
accedere	aktʃedere
accelera	aktʃelera
accelera	əˈtʃelerə
accelerare	aktʃelerare
accelerare	akʃeleˈrare
accelerarea	ətʃelere̯ara
accelerat	aktʃelerat
accelerat	əˌtʃeleˈrat
accelerator	aktʃelerator
accelerator	atseleɾaˈtor
acceleratorul	akʃeleraˈtorul
accelerată	akʃeleˈratə
acceleraţia	atseleˈratsia
acceleraţie	atseleˈratsie
accelerație	aktʃeleratsije
accelerațiune	aktʃeleratsiune
accelerează	ətʃeˈlere̯aʃe̯
accelerez	akʃeleˈreʒ
accelereze	atʃeleˈreze
accelerezi	atʃeleˈrezi
accelerograf	aktʃelerograf
accelerometru	aktʃelerometru
accent	aktʃent
accent	akˈtʃent
accentua	aktʃentuwa
accentuare	aktʃentuware
accentuat	aktʃentuwat
accentuat	akʃentuat
accentul	aktʃentul
accentul	atʃentul
accept	aktʃept
accept	əˈtʃept
accepta	aktʃepta
accepta	əˈtʃepta
acceptabil	aktʃeptabil
acceptabil	ətʃeˈtʃebil
acceptabile	əˌtʃeptəˈbilʲe
acceptabilă	aktʃeptabilə
acceptabilă	əktʃeptaˈbilə
acceptam	aktʃeptam
acceptam	əˈtʃept̪am
acceptare	aktʃeptare
acceptare	əˈtʃept̪aɾe
acceptarea	əˌtʃept̪ˈare̯a
acceptat	aktʃeptat
acceptat	əˈtʃeptat
acceptat-o	əˈtʃept̪at̪o
acceptata	əˈtʃeptat̪a
acceptate	əˈtʃept̪ate
acceptati	əˈtʃeptatʲ
acceptată	əˈtʃeptate̯
acceptaţi	əˈtʃeptaʃʲ
acceptați	aktʃeptats
accepte	aktʃepte
accepte	əˈtʃepte
accepti	əˈtʃeptʲ
acceptor	aktʃeptor
acceptul	əˈtʃeptul
acceptând	əˈtʃeptɨnd
acceptă	əˈtʃeptə
acceptăm	əˈtʃeptəm
accepţi	əˈtʃeptsʲ
accepție	aktʃeptsije
accepțiune	aktʃeptsiune
acces	aktʃes
acces	akˈtʃes
accesa	aktʃesa
accesa	akˈtʃesa
accesare	aktʃesare
accesarea	aktʃesarĕa
accesat	aktʃesat
accesat	aktʃeˈsat
accesează	aktʃeˈse̯azə
accesez	akʃeˈzeʃ
acceseze	aktʃe'seze
accesezi	aktʃeˈsezʲ
accesibil	aktʃesibil
accesibile	aktʃesibile
accesibile	aktʃesiˈbile
accesibilitate	aktʃesibilitate
accesibilă	aktʃesibilə
accesiune	aktʃesiune
accesorii	aktsekoˈriː
accesorii	aktʃesorij
accesoriile	aktʃesoriˈle
accesoriu	aktʃesoriw
accesoriu	aktʃesorju
accesul	aktʃesul
accesul	akˈtʃesul
accesăm	aktʃesəm
accident	aktʃident
accident	aktʃiˈdent
accidenta	aktʃidenta
accidental	aktʃidental
accidental	aktʃidentsal
accidentale	atʃiˈdentale
accidentală	aktʃidenˈtsala
accidentare	aktʃidentare
accidentare	atʃiˈdent̪are
accidentat	aktʃidentat
accidentat	aktʃidenˈtat
accidente	aktʃidente
accidente	atʃiˈdente
accidentele	atʃiˈdentele
accidentelor	atʃiˈdentelor
accidentul	aktʃidentul
accidentul	atʃiˈdentul
accidentului	aktʃidentulu
accidențar	aktʃidentsar
acciz	aktʃiz
acciza	aktʃiza
accizare	aktʃizare
accizat	aktʃizat
accizele	aktʃizele
accizelor	aktʃizelor
accord	akˈkɔrd
ace	atʃe
acea	atʃe̯a
acea	atʃ̩a
aceasi	atʃe̯a̯si
aceast	atʃe̯ast
aceasta	atʃe̯aˈsta
aceasta	atʃ̩asta
aceasta-i	atʃe̯aˈstai
aceastã	atʃe̯aˈstã
această	atʃe̯aˈstə
aceaşi	atʃe̯aʃʲ
aceea	atʃeja
aceea	atʃe̯a
aceeasi	atʃe̯e̯aʃʲ
aceeaşi	atʃe̯aʃʲ
aceeași	atʃejaʃ
aceeași	atʃe̯e̯aʃʲ
acefal	atʃefal
acefalie	atʃefalije
acei	atʃej
aceia	atʃe̯a
aceiasi	atʃe̯aˈʃi̯a
aceiaşi	atʃe̯aʃʲ
acel	atʃel
acela	atʃela
acela	əˈtʃela
acela-i	əˈtʃelaj
acelas	əˈtʃe̯las
acelasi	atʃeˈlasʲ
acelaşi	atʃeˈlaʃʲ
același	atʃelaʃ
același	əˈtʃe̯aʃʲ
acele	atʃele
acelea	atʃele̯a
acelea	atʃelĕa
aceleasi	atʃele̯aʃʲ
aceleaşi	atʃe̯le̯aʃʲ
aceleași	atʃelĕaʃ
aceleași	atʃeˈle̯aʃʲ
acelei	atʃelej
acelei	atʃe̯lej
aceleia	atʃele̯a
aceleiaşi	atʃele̯aʃʲ
aceleiași	atʃelejaʃ
acelor	atʃelor
acelor	atʃelork
acelora	atʃelora
acelui	atʃeluj
acelui	atʃe̯luʲ
aceluia	ˈatʃeljua
aceluiaşi	ˈatʃelujʃʲ
aceluiași	atʃelujaʃ
acera	atʃera
aceracee	atʃeratʃee
acerare	atʃerare
acerateriu	atʃeraterju
acerb	atʃerb
acerbă	atʃerba
aces	atʃes
acest	atʃest
acest	ˈatʃest
acesta	atʃesta
acesta	ˈatʃesta
acesta-i	ˈatʃestəi
aceste	atʃeste
aceste	ˈatʃeste
acestea	atʃestĕa
acestea	ˈatʃeste̯a
acestei	atʃestej
acestei	ˈatʃestej
acesteia	atʃesteja
acesteia	ˈatʃeste̯a
acesti	atʃesti
acestia	ˈatʃestia
acestor	atʃestor
acestor	ˈatʃest̪or
acestora	atʃestora
acestora	ˈatʃestora
acestui	atʃestuj
acestui	ˈatʃestwuj
acestuia	atʃestui̯a
acestuia	atʃestuja
acestă	ˈatʃestə
acetamidă	atʃetamidə
acetat	atʃetat
acetazolamidă	atʃetazolamidə
acetic	atʃetik
acetifica	atʃetifika
acetificare	atʃetifikare
acetificat	atʃetifikat
acetil	atʃetil
acetilare	atʃetilare
acetilenic	atʃetilenik
acetilenă	atʃetilenə
acetilsalicilic	atʃetilsalitʃilik
acetilură	atʃetilurə
acetobutirat	atʃetobutirat
acetofan	atʃetofan
acetofenonă	atʃetofenonə
acetonemie	atʃetonemije
acetonurie	atʃetonurije
acetonă	atʃetonə
aceveda	atʃeˈveda
aceşti	atʃeʃtʲ
aceştia	atʃeʃˈtia
acești	atʃeʃt
acești	atʃeʃtʲ
aceștia	atʃeʃtia
aceștia	atʃeʃtja
achenă	akenə
acherontic	akerontik
achifoaiei	akifŏajej
achilie	akilije
achim	akim
achimescu	akimesku
achinezie	akinezije
achit	ɑˈkit
achita	akita
achita	əˈkit̪a
achitare	akitare
achitarea	ˈakit̪are̯a
achitat	akitat
achitat	əˈkit̪at
achite	ˈakite
achităm	akitəm
achiu	akiw
achizitiv	akizitiv
achizitor	akizitor
achiziţie	ˌakiʒiˈtsie
achiziţii	ˈakiʒitsi
achiziţionarea	ˌakiʒitsioˈnare̯a
achiziţionat	ˌakiʒitsioˈnatsʲat
achiziție	akizitsije
achiziției	akizitsijej
achmed	ˈatʃmed
achmed90	ɑtʃmednʊnti
aci	atʃ
aci	atʃʲ
aciclic	atʃiklik
acicul	atʃikul
acicular	atʃikular
acid	atʃid
acid	ˈatʃʲid
acidamină	atʃidaminə
acidifica	atʃidifika
acidificare	atʃidifikare
acidificat	atʃidifikat
acidimetrie	atʃidimetrije
acidimetru	atʃidimetru
aciditate	atʃiditate
acidofil	atʃidofil
acidorezistență	atʃidorezistentsə
acidoză	atʃidozə
acidul	aˈtʃidul
acidula	atʃidula
acidulare	atʃidulare
acidulat	atʃidulat
acidă	ˈatʃidə
acil	atʃil
acila	atʃila
acilare	atʃilare
acilat	atʃilat
acilea	atʃilĕa
acinos	atʃinos
acipenserid	atʃipenserid
acira	atʃira
acirare	atʃirare
ackerman	akərmən
aclama	aklama
aclamare	aklamare
aclamat	aklamat
aclamație	aklamatsije
aclimata	aklimata
aclimatare	aklimatare
aclimatat	aklimatat
aclimatiza	aklimatiza
aclimatizare	aklimatizare
aclimatizat	aklimatizat
aclinic	aklinik
acnee	aknee
acnee	akˈne
acneiform	akneiform
acoace	akŏatʃe
acoladă	akoladə
acolea	akolĕa
acolie	akolije
acolisi	akolisi
acolisire	akolisire
acolit	akolit
acoliţii	akolitsi
acolo	akolo
acolo	akolʲ
acolo-i	akolʲi
acomoda	akomoda
acomodabil	akomodabil
acomodare	akoma'dare
acomodare	akomodare
acomodat	akomodat
acomodat	akomoˈdat
acomodeze	akoˈmodeze
acomodezi	akoˈmodʒezi
acompania	akompanija
acompania	əkomanja
acompaniament	akompanijament
acompaniat	akompanijat
acompaniator	akompanijator
acompaniere	akompanijere
acondroplazie	akondroplazije
aconit	akonit
aconitină	akonitinə
acont	akont
aconta	akonta
acontare	akontare
acontat	akontat
aconto	akonto
acopar	akopaɾ
acopera	akopera
acopera-ma	akoperaˈma
acopere	akopere
acoperea	akopere̯a
acoperea	akoperĕa
acoperemânt	akoperemɨnt
acoperi	akoperi
acoperim	akopεrim
acoperind	akoperiɲd
acoperire	akoperire
acoperire	akopɛˈrire
acoperirea	akopjerjə
acoperiră	akoperirə
acoperis	akopɛˈris
acoperisul	akoperiˈsul
acoperit	akoperit
acoperit	akoperiʈ
acoperit-o	akoperi'tɔ
acoperita	akopɛˈrita
acoperite	akoperi'tɛ
acoperite	akoperite
acoperiti	akoperiˈti
acoperitoare	akoperitŏare
acoperitor	akoperitor
acoperită	akoperitə
acoperită	akoperiˈta
acoperiş	akopəˈriʃ
acoperişul	akoperiʃul
acoperişuri	akoperiʃuri
acoperişurile	akopeˈriʃure̯le
acoperiţi	akoperitʃʲ
acoperiţi-vă	akoperitsʲv
acoperiș	akoperiʃ
acoperișul	akoperiʃul
acoperă	akoperə
acoperă	akopəˈre̯a
acoperă-l	akopəˈreɫ
acoperă-mă	akopeˈɾəma
acoperă-te	ˈakopeɾəte
acoperă-ţi	akopɛrɨtsʲ
acoperământ	akoperəmɨnt
acopăr	akopaɾ
acord	akord
acord	aˈkoɾd
acorda	akorda
acorda	əˈkɔrda
acordaj	akordaʒ
acordant	akordant
acordare	akordare
acordarea	akoɾdaɾe̯a
acordat	akordat
acordat	akɔrˈdat
acordate	akordate
acordate	akɔrˈdate
acordati	akoɾda'ti
acordată	akɔrdatə
acordaţi	akɔrˈdatsʲ
acordați	akordats
acorde	akoɾde
acordeon	akordeon
acordeon	akorˈde̯on
acordeonist	akordeonist
acordic	akordik
acordor	akordor
acordul	akorˈdul
acordului	akɔrdulu
acorduri	akordur
acorduri	akɔrdu'ri
acordurile	ˈakoɾduɾulə
acordă	akɔrda
acordă-i	əˈkoɾdəj
acordă-mi	akɔrdami
acordăm	aˈkɔrdəm
acorie	akorije
acorzi	akorz
acorzi	akorzi
acosta	akosta
acostament	akostament
acostare	akostare
acostat	akostat
acotiledon	akotiledon
acotiledonat	akotiledonat
acraniat	akranijat
acre	ˈakre
acredita	akredita
acreditant	akreditant
acreditare	akreditare
acreditare	əkrediˈtare
acreditat	akreditat
acreditiv	akreditiv
acreditările	əkreˈdit̪ʲile
acrescent	akrestʃent
acrescământ	akreskəmɨnt
acri	akri
acribie	akribije
acribologie	akribolodʒije
acridină	akridinə
acridă	akridə
acrilat	akrilat
acrilic	akrilik
acrilonitril	akrilonitril
acrime	akrime
acrimonie	akrimonije
acrimonios	akrimonios
acrinie	akrinije
acrire	akrire
acrit	akrit
acritură	akriturə
acriu	akriw
acriș	akriʃ
acrișor	akriʃor
acrobat	akrobat
acrobat	akroˈbat
acrobatic	akrobatik
acrobație	akrobatsije
acrobații	akrobatsij
acrocefal	akrotʃefal
acrocefalie	akrotʃefalije
acrocianoză	akrotʃianozə
acrofobie	akrofobije
acroleină	akroleinə
acrolit	akrolit
acromanie	akromanije
acromat	akromat
acromatic	akromatik
acromatism	akromatism
acromatiza	akromatiza
acromatizare	akromatizare
acromatizat	akromatizat
acromatopsie	akromatopsije
acromegalie	akromegalije
acromicrie	akromikrije
acromie	akromije
acronic	akronik
acronim	akronim
acroparestezie	akroparestezije
acropolă	akropolə
acroteră	akroterə
acroșa	akroʃa
acroșaj	akroʃaʒ
acroșare	akroʃare
acroșat	akroʃat
acru	akru
acruț	akruts
acră	akrə
act	akt
acta	akta
actant	aktant
acte	akt̪e
actele	aktele
actele	akˈte̯le
actelor	akˈt̪el̪or
acteonela	akteonela
actinic	aktinik
actinid	aktinid
actinie	aktinije
actinism	aktinism
actiniu	aktinju
actinodon	aktinodon
actinograf	aktinograf
actinografie	aktinografije
actinometric	aktinometrik
actinometrie	aktinometrije
actinometru	aktinometru
actinomicet	aktinomitʃet
actinomicoză	aktinomikozə
actinomorf	aktinomorf
actinon	aktinon
actinopterigian	aktinopteridʒian
actinot	aktinot
actinoterapie	aktinoterapije
actinotropism	aktinotropism
action	akˈʃi̯on
actiona	aktsjoˈna
actionam	aktsjɔnam
actionat	aktsioˈnat
actioneaza	aktsjone̯azə
actionează	aktsjoˈne̯azə
actionez	aktsioˈne̯z
actioneze	aktsjoˈne̯ze̯
actionezi	aktsjoˈne̯zi
actiune	aktsiune
actiunea	aktsiuˈne̯a
actiuni	aktsiuni
actiunii	aktuˈni
actiunile	aktsiuˈnile
actiunilor	aktsiuˈnilor
activ	aktiv
activ	akˈtʃiv
activa	aktiva
activa	akˈtivə
activant	aktivant
activare	aktivare
activarea	aktivarĕa
activarea	aktivaˈre̯a
activat	aktiva't
activat	aktivat
activate	ɑktɪˈvɑktə
activator	aktivator
activată	aktivaˈta
activaţi	aktivatsʲ
active	akˈtivʃe
activeaza	aktsive̯a̠za̠
activează	aktiˈve̯asə
activele	aktʃiˈte̯le
activez	aktsivez
activeze	ˈaktʃivetse
activezi	ˈaktʃivetsi
activi	aktivi
activist	akti'vist
activist	aktivist
activitate	aktivitate
activitate	aktiviˈtade
activitatea	aktʃivte̯aˈlitə
activitati	aktivitati
activitatile	aktivitatile
activităţi	aktivitətsʲ
activităţii	aktivitətsʲ
activităţile	aktivitətsʲile
activităţilor	aktivitətsilor
activități	aktivitəts
activiza	aktiviza
activizare	aktivizare
activizat	aktivizat
activizator	aktivizator
activişti	aktiviʃtʃʲ
activă	akˈtʃivə
activăm	akti'vɨm
actor	ak'tor
actor	aktor
actoraș	aktoraʃ
actori	aktor
actori	akˈt̪orʲ
actoria	aktɔria
actoricesc	aktoritʃesk
actorie	aktorije
actorie	akˈtorie
actorii	aktorij
actorii	aktoriː
actorilor	akt̪orilor
actoriță	aktoritsə
actorul	aktoɾul
actorului	aktoruluj
actrita	ak'tritə
actrită	aktritə
actriţa	aktritsa
actriţe	aktriˈtse
actriţă	aktritsiə
actriță	aktritsə
actual	aktuwal
actual	akˈtʃu̯al
actuala	aktʃuˈla
actuale	aktuwale
actuale	aktʃuˈale
actualism	aktuwalism
actualitate	aktuwalitate
actualitate	aktʃuˈlatsite
actualiza	aktuwaliza
actualizare	aktuliˈzarə
actualizare	aktuwalizare
actualizat	aktuwalizat
actualizat	aktʃulaˈzat
actualizări	aktʃulaˈzerʲ
actualmente	aktuwalmente
actualmente	aktuˈɛlmente
actualul	aktʃuˈtsul
actuală	aktuˈtʃalə
actuar	aktuwar
actuariat	aktuwarijat
actul	aktul
actului	aktulu
acu	aku
acu	akʊ
acuarelist	akwarelist
acufunda	akufunda
acufundare	akufundare
acufundat	akufundat
acuitate	akuitate
acul	akul
aculeat	akuleat
aculeiform	akuleiform
aculeol	akuleol
aculeu	akulew
aculturație	akulturatsije
acului	akulʲ
acum	akum
acuma	akuma
acumetrie	akumetrije
acumetru	akumetru
acuminat	akuminat
acumula	akumula
acumulare	akumulare
acumulare	akumuˈlare
acumularea	akumularĕa
acumularea	akumuˈlare̯a
acumulat	akumulat
acumulat	akumuˈlat
acumulativ	akumulativ
acumulator	akumulator
acumulează	ˌakumuˈle̯asə
acupla	akupla
acuplaj	akuplaʒ
acuplare	akuplare
acuplat	akuplat
acupresură	akupresurə
acupunctor	akupunktor
acupunctură	akupunkturə
acurat	akurat
acurateţe	akuraˈtetse
acuratețe	akuratetse
acurateță	akuratetsə
acustic	akustik
acustică	akustʲkə
acustomat	akustomat
acut	akut
acute	ˈakute
acutiza	akutiza
acutizare	akutizare
acută	akʲˈtə
acuz	akuz
acuza	akuza
acuzare	akuzare
acuzare	əkuzare
acuzarea	akutsəˈre̯a
acuzat	akuzat
acuzat-o	akuts̪at̪o
acuzata	akutsata
acuzati	akutsati
acuzatia	akutsi̯a
acuzatie	əkuzaˈtie
acuzatii	akutsiˈti
acuzatiile	akutsati̯ile
acuzativ	akuzativ
acuzator	akuzator
acuzatul	akutsuˈtul
acuzatului	ˈakuzaˌtulʲ
acuzată	akuzətə
acuzaţi	akuzatsʲ
acuzaţia	akutsu̯atsʲa
acuzaţie	akuzatsʲe
acuzaţii	akuzatsʲi
acuzaţiile	akuzaˈtsʲile
acuzaţiilor	akuzatsʲilor
acuzație	akuzatsije
acuzații	akuzəˈtsij
acuzațiile	akuzaˈtsie
acuze	akuze
acuzi	akʷiˈzi
acuză	əkuˈzə
acuzăm	əkuˈzəm
acuzării	ˈakuzaɾe̯j
acuşi	akuʃʲ
acușa	akuʃa
acuși	akuʃ
acușica	akuʃika
acușor	akuʃor
acvacultură	akvakulturə
acvadag	akvadag
