abbaa	abːaː
ifaa	ifaː
ija	idʒa
ilkaan	ilkaːn
imala	imala
inni	inːi
isaa	isaː
isii	isiː
islaama	islaːma
jaalala	dʒaːlala
jaalatta	dʒaːlatːa
jaarsa	dʒaːrsa
jabeessa	dʒabeːsːa
jijjiira	dʒidʒiːra
jireenya	dʒireːɲa
ka'ii	kaʔiː
kabaja	kabadʒa
kana	kana
kanarraa	kanarːaː
karaa	karaː
kee	keː
keessa	keːsːa
kessa	kesːa
kophaa	kopʰaː
korma	korma
kottaa	kotːaː
kubbaayaa	kubːaːjaː
kufaa	kufaː
kuttaa	kutːaː
lafa	lafa
laga	laga
lakki	lakːi
lammaffaa	lamːafːaː
leenca	leːntʃa
lubbu	lubːu
maal	maːl
maali	maːli
maaltu	maːltu
maatii	maːtiː
magaala	magaːla
mala	mala
mana	mana
manguddoo	maŋgudːoː
maqaa	maqaː
mara	mara
marsee	marseː
mataa	mataː
mateensa	mateːnsa
meeqa	meːqa
mi'a	miʔa
miila	miːla
miillaga	miːlːaga
mootummaa	moːtumːaː
mucaa	mutʃaː
mudaa	mudaː
muka	muka
mul'ata	mulʔata
mummee	mumːeː
na	na
naanna'aa	naːnːaʔaː
naannoo	naːnːoː
nabaa	nabaː
nagaa	nagaː
nama	nama
namicha	namitʃa
namoota	namoːta
namummaa	namumːaː
ni	ni
nidiagama	nidiagama
nuyi	nuji
nyataa	ɲataː
obboleessa	obːoleːsːa
odeessa	odeːsːa
of	of
ogeessa	ogeːsːa
oolaa	oːlaː
orma	orma
oromiyaa	oromijaː
otoo	otoː
qaba	kʼaba
qabaa	kˈabaː
qabata	kʼabata
qabatee	kˈabateː
qabeenya	kʼabeːɲa
qabeenya	kˈabeːɲa
qabsoo	kʼabsoː
qabsoo	kˈabsoː
qajeelaa	kˈadʒeːlaː
qalbi	kˈalbi
qalbii	kʼalbiː
qalbii	kˈalbiː
qalbiin	kˈalbiːn
qalbiisa	kˈalbiːsa
qalbiisaan	kˈalbiːsaːn
qalbiisaanii	kˈalbiːsaːniː
qalbiisaanis	kˈalbiːsaːnis
qalbiisaanisii	kˈalbiːsaːnisiː
qalii	kʼaliː
qama	kʼama
qananii	kʼananiː
qaroo	kʼaroː
qarqara	kʼarkʼara
qarqara	kˈarkˈara
qarshii	kʼarʃiː
qawwee	kʼawːeː
qeerransa	kˈeːrːansa
qeerroo	kˈeːrːoː
qilleensa	kʼilːeːnsa
qilleensa	kˈilːeːnsa
qofa	kʼofa
qonna	kʼonːa
qophii	kʼopʰiː
qophii	kˈopʰiː
qulqulluu	kʼulkʼulːuː
qulqulluu	kˈulkˈulːuː
qunnamtii	kʼunːamtiː
raajii	raːdʒiː
raawwata	raːwːata
rifa	rifa
rooba	roːba
sa'a	saʔa
sabaa	sabaː
sababa	sababa
safara	safara
sagalee	sagaleː
sana	sana
sangaa	saŋgaː
sanyii	saɲiː
seenaa	seːnaː
seera	seːra
shan	ʃan
shoora	ʃoːra
soba	soba
sochii	sotʃiː
sodaa	sodaː
soressa	soresːa
suuraa	suːraː
ta'uu	taʔuː
taa'oo	taːʔoː
taate	taːte
tahee	taheː
takka	takːa
tala	tala
tan	tan
tana	tana
tiyya	tijːa
tokkoffaa	tokːofːaː
tola	tola
tooftaa	toːftaː
tuqa	tukʼa
uffata	ufːata
ummata	umːata
ummataa	umːataː
urjii	urdʒiː
waan	waːn
waanta	waːnta
waaqayyo	waːqajːo
waaqee	waːqeː
waayee	waːjeː
wabi	wabi
waggaa	wagːaː
wajji	wadʒi
wal	wal
wallaala	walːaːla
wallaggaa	walːagːaː
walumaagala	walumaːgala
waraana	waraːna
wareega	wareːga
warra	warːa
warreen	warːeːn
wayita	wajita
xiqqaa	ʃikʼaː
xiyyara	ʃijːara
yaa	jaː
yeroo	jeroː
yi	ji
